epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.44091,2.49447,3.98773,0.00787,0.00333,0.06202,0.00022,6e-05,1.9057,3.78839,0.0056,4e-05,4e-05,4e-05
2,7.40555,2.4967,4.03837,0.00777,0.00625,0.11628,0.00072,0.00032,1.89312,3.69923,0.00544,9.901e-05,9.901e-05,9.901e-05
3,8.73586,2.21072,3.84583,0.00573,0.01708,0.31783,0.00542,0.00142,2.50701,3.58861,0.00756,0.000156832,0.000156832,0.000156832
4,9.9959,1.94377,3.34072,0.00452,0.0275,0.51163,0.01434,0.00559,1.76821,3.51371,0.00504,0.000213466,0.000213466,0.000213466
5,11.2253,1.79922,3.03245,0.00394,0.03125,0.5814,0.01862,0.00772,1.78666,3.42845,0.00502,0.000268912,0.000268912,0.000268912
6,12.4359,1.8791,2.56995,0.00364,0.0325,0.60465,0.02719,0.01319,1.7267,3.40067,0.00476,0.00032317,0.00032317,0.00032317
7,13.6451,1.67185,2.43266,0.00354,0.03333,0.62016,0.045,0.02813,1.48111,3.28482,0.00395,0.00037624,0.00037624,0.00037624
8,14.9638,1.68472,2.28726,0.00336,0.03125,0.5814,0.04327,0.02946,1.47595,3.22709,0.00381,0.000428122,0.000428122,0.000428122
9,16.3109,1.82793,2.04633,0.00348,0.03167,0.58915,0.04121,0.02734,1.63959,3.13393,0.00429,0.000478816,0.000478816,0.000478816
10,17.3087,1.83795,2.04055,0.00359,0.03417,0.63566,0.0506,0.03549,1.53284,3.05906,0.00401,0.000528322,0.000528322,0.000528322
11,18.545,1.81221,1.96057,0.00339,0.03167,0.58915,0.05976,0.04491,1.46171,2.99737,0.00374,0.00057664,0.00057664,0.00057664
