epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8349,1.0272,3.56023,0.00416,0.0256,0.95133,0.37387,0.23112,0.76805,3.43357,0.00527,0.00024,0.00024,0.00024
2,14.447,0.85594,2.31901,0.00342,0.02518,0.93584,0.55168,0.40709,0.70363,3.1239,0.00464,0.00049505,0.00049505,0.00049505
3,17.3569,0.78575,1.89414,0.00305,0.74658,0.41814,0.58118,0.41706,0.80183,2.86927,0.00509,0.000744952,0.000744952,0.000744952
4,20.235,0.76791,1.63263,0.00295,0.02536,0.94248,0.6353,0.53742,0.54554,2.83682,0.00346,0.000989706,0.000989706,0.000989706
5,23.1201,0.80971,1.49388,0.00303,0.81232,0.26813,0.66618,0.53926,0.69135,2.58888,0.00421,0.00122931,0.00122931,0.00122931
6,25.9307,0.75631,1.30559,0.00283,0.858,0.78868,0.87569,0.73806,0.63904,2.02145,0.00396,0.00146377,0.00146377,0.00146377
7,29.0336,0.84022,1.27396,0.00318,0.86256,0.7498,0.88229,0.68203,0.84185,2.05127,0.0052,0.00169308,0.00169308,0.00169308
8,32.1592,0.78881,1.23619,0.00314,0.87893,0.80531,0.90464,0.74327,0.72963,1.47477,0.00442,0.0018614,0.0018614,0.0018614
9,35.1667,0.83298,1.08479,0.00303,0.83787,0.86947,0.91004,0.78549,0.62013,1.1883,0.00369,0.0018416,0.0018416,0.0018416
10,38.3532,0.79122,1.06742,0.003,0.84844,0.86694,0.92185,0.7505,0.76745,1.18279,0.00473,0.0018218,0.0018218,0.0018218
11,41.29,0.76002,1.03585,0.00298,0.84586,0.86198,0.90535,0.74079,0.69254,1.21365,0.00396,0.001802,0.001802,0.001802
12,44.36,0.71684,0.9635,0.0027,0.93556,0.86731,0.94772,0.80133,0.6389,0.96156,0.00384,0.0017822,0.0017822,0.0017822
13,47.8348,0.70318,0.86386,0.00275,0.91346,0.90265,0.95556,0.8025,0.64992,0.92565,0.00388,0.0017624,0.0017624,0.0017624
14,51.1405,0.69699,0.8624,0.00266,0.9324,0.88499,0.95928,0.79235,0.68226,0.91848,0.00418,0.0017426,0.0017426,0.0017426
15,54.2636,0.70629,0.91015,0.00251,0.91137,0.90999,0.9585,0.8094,0.6159,0.92437,0.00364,0.0017228,0.0017228,0.0017228
16,57.4905,0.64375,0.72403,0.00241,0.94298,0.88274,0.96022,0.79756,0.68688,0.79891,0.00394,0.001703,0.001703,0.001703
17,60.5559,0.70294,0.73132,0.00247,0.90514,0.89602,0.9554,0.8077,0.62802,0.7833,0.00371,0.0016832,0.0016832,0.0016832
18,63.8966,0.7126,0.68269,0.00251,0.88493,0.91593,0.96104,0.8294,0.56718,0.76784,0.00344,0.0016634,0.0016634,0.0016634
19,67.0707,0.71217,0.67336,0.00272,0.92116,0.92257,0.96553,0.81553,0.63344,0.7073,0.00382,0.0016436,0.0016436,0.0016436
20,69.8798,0.65458,0.67454,0.00239,0.95767,0.90103,0.96814,0.82027,0.64759,0.63722,0.00381,0.0016238,0.0016238,0.0016238
21,72.6777,0.65466,0.62718,0.00246,0.94655,0.90104,0.9663,0.85822,0.52075,0.60438,0.00312,0.001604,0.001604,0.001604
22,75.7658,0.69056,0.61558,0.00256,0.9599,0.90041,0.97059,0.82214,0.64092,0.60696,0.0044,0.0015842,0.0015842,0.0015842
23,78.7665,0.64433,0.59133,0.00228,0.94247,0.90606,0.9703,0.85272,0.52254,0.54815,0.00326,0.0015644,0.0015644,0.0015644
24,81.9244,0.6335,0.57895,0.00234,0.945,0.89602,0.97134,0.83324,0.5878,0.58331,0.00371,0.0015446,0.0015446,0.0015446
25,84.8398,0.62178,0.56861,0.00234,0.9626,0.91114,0.97207,0.83024,0.58204,0.52954,0.00365,0.0015248,0.0015248,0.0015248
26,87.8978,0.62422,0.54542,0.00227,0.95587,0.89823,0.97172,0.85574,0.53253,0.50672,0.00322,0.001505,0.001505,0.001505
27,90.8404,0.60129,0.51299,0.00225,0.97532,0.88274,0.97031,0.83677,0.58922,0.53467,0.00368,0.0014852,0.0014852,0.0014852
28,93.8783,0.58942,0.50955,0.00228,0.96905,0.90053,0.97203,0.83747,0.56597,0.48802,0.00344,0.0014654,0.0014654,0.0014654
29,96.8156,0.60075,0.49311,0.00219,0.96967,0.90044,0.97083,0.85466,0.53252,0.48221,0.00328,0.0014456,0.0014456,0.0014456
30,99.677,0.56592,0.45812,0.00208,0.98147,0.89381,0.97365,0.86225,0.50081,0.46908,0.00311,0.0014258,0.0014258,0.0014258
31,102.618,0.57009,0.44988,0.00205,0.95422,0.92233,0.97335,0.84385,0.56412,0.48888,0.00321,0.001406,0.001406,0.001406
32,105.683,0.57397,0.46967,0.00205,0.98075,0.92478,0.9758,0.8646,0.52982,0.43223,0.00319,0.0013862,0.0013862,0.0013862
33,108.812,0.55991,0.44042,0.00203,0.98288,0.88886,0.97259,0.86324,0.53181,0.42796,0.00308,0.0013664,0.0013664,0.0013664
34,111.924,0.59948,0.44052,0.00215,0.97143,0.90265,0.97249,0.8687,0.52048,0.44243,0.00316,0.0013466,0.0013466,0.0013466
35,115.028,0.61066,0.43064,0.00225,0.98328,0.91058,0.97403,0.85847,0.55029,0.41834,0.00339,0.0013268,0.0013268,0.0013268
36,117.961,0.59837,0.45288,0.00212,0.95952,0.93363,0.9753,0.87116,0.51127,0.40286,0.00308,0.001307,0.001307,0.001307
37,121.078,0.59285,0.42576,0.00208,0.95686,0.93805,0.97788,0.85766,0.54951,0.41047,0.00327,0.0012872,0.0012872,0.0012872
38,123.986,0.57105,0.43178,0.00201,0.97868,0.92478,0.97762,0.86125,0.51796,0.39776,0.00322,0.0012674,0.0012674,0.0012674
39,126.924,0.55877,0.42043,0.00212,0.98272,0.88057,0.97059,0.87827,0.49507,0.42391,0.00314,0.0012476,0.0012476,0.0012476
40,130.242,0.66217,0.4297,0.00246,0.88274,0.93142,0.96631,0.85237,0.54898,0.44969,0.00329,0.0012278,0.0012278,0.0012278
41,133.206,0.56477,0.38741,0.00211,0.98646,0.87832,0.97236,0.87256,0.49651,0.38908,0.00302,0.001208,0.001208,0.001208
42,136.348,0.54204,0.38942,0.0019,0.97185,0.91673,0.97648,0.87597,0.52077,0.37949,0.00307,0.0011882,0.0011882,0.0011882
43,139.411,0.60781,0.40305,0.00222,0.98559,0.90767,0.98045,0.88546,0.48442,0.36974,0.00293,0.0011684,0.0011684,0.0011684
44,142.603,0.63169,0.40494,0.0023,0.95966,0.92478,0.97889,0.8724,0.51251,0.35959,0.00315,0.0011486,0.0011486,0.0011486
45,145.522,0.58313,0.38875,0.00214,0.98574,0.91744,0.9792,0.8876,0.46933,0.34881,0.00278,0.0011288,0.0011288,0.0011288
46,148.559,0.58867,0.3828,0.00205,0.98335,0.91445,0.97775,0.85873,0.53931,0.36425,0.00331,0.001109,0.001109,0.001109
47,151.553,0.58625,0.37873,0.00213,0.98092,0.89602,0.97803,0.87673,0.50198,0.34973,0.00301,0.0010892,0.0010892,0.0010892
48,154.522,0.5484,0.35814,0.00194,0.97404,0.91295,0.97833,0.86352,0.52474,0.37835,0.00319,0.0010694,0.0010694,0.0010694
49,157.421,0.55062,0.34772,0.00198,0.97079,0.9115,0.97809,0.88363,0.48436,0.35751,0.00291,0.0010496,0.0010496,0.0010496
50,160.055,0.56104,0.36978,0.00204,0.97863,0.91173,0.97804,0.88183,0.49147,0.32989,0.00288,0.0010298,0.0010298,0.0010298
51,162.983,0.54695,0.37673,0.00191,0.97946,0.87389,0.97621,0.87177,0.51343,0.34469,0.00322,0.00101,0.00101,0.00101
52,165.757,0.57306,0.36035,0.00196,0.97875,0.91372,0.9808,0.87248,0.51083,0.34365,0.00308,0.0009902,0.0009902,0.0009902
53,168.489,0.57974,0.33983,0.00209,0.98519,0.88274,0.97566,0.87876,0.48846,0.34696,0.00295,0.0009704,0.0009704,0.0009704
54,171.242,0.55252,0.35708,0.00205,0.98962,0.87168,0.97504,0.86596,0.51987,0.367,0.00322,0.0009506,0.0009506,0.0009506
55,173.943,0.52933,0.3419,0.00187,0.97531,0.89823,0.97905,0.87812,0.48036,0.33297,0.0029,0.0009308,0.0009308,0.0009308
56,176.747,0.5474,0.3638,0.00186,0.97231,0.93214,0.98241,0.88653,0.49519,0.32522,0.00293,0.000911,0.000911,0.000911
57,179.505,0.52657,0.34186,0.00179,0.96543,0.92682,0.9814,0.88931,0.44796,0.33152,0.00272,0.0008912,0.0008912,0.0008912
58,182.377,0.50725,0.33537,0.00173,0.97331,0.92257,0.98151,0.8868,0.46317,0.34125,0.00272,0.0008714,0.0008714,0.0008714
59,185.115,0.49567,0.33039,0.00175,0.99146,0.90708,0.98279,0.89165,0.45167,0.32472,0.00269,0.0008516,0.0008516,0.0008516
60,188.087,0.49806,0.33164,0.00182,0.98229,0.91814,0.98236,0.88655,0.46952,0.33431,0.00273,0.0008318,0.0008318,0.0008318
